M. No.		Mission Name	Mission Description	Order	Portal Name	Portal URL
1	Any order	MD 2018: Palma, Es Born	A stroll through the Passeig del Born, where sa Riera used to flow. Nowadays, we can find there some of the highest standing stores in Palma. Picture by Carme Sànchez.	1	Casal Solleric	https://ingress.com/intel?ll=39.570884,2.646614&z=17&pll=39.570884,2.646614
1				2	Plaça de les Tortugues	https://ingress.com/intel?ll=39.571295,2.646932&z=17&pll=39.571295,2.646932
1				3	Passeig des Born	https://ingress.com/intel?ll=39.571018,2.647073&z=17&pll=39.571018,2.647073
1				4	Placa Silenciada de la Corona	https://ingress.com/intel?ll=39.570538,2.646928&z=17&pll=39.570538,2.646928
1				5	Eak Tai Ahn	https://ingress.com/intel?ll=39.5701,2.646329&z=17&pll=39.5701,2.646329
1				6	Esfinge Des Born	https://ingress.com/intel?ll=39.569431,2.646476&z=17&pll=39.569431,2.646476
						
2	Any order	MD 2018: Palma, Plaça de la Reina	The area of the Plaça de la Reina (Queen's Square) contains the centenary ombú and the monument to the poet Joan Alcover, author of the anthem of Mallorca.	1	La Torre des morts	https://ingress.com/intel?ll=39.569158,2.646202&z=17&pll=39.569158,2.646202
2				2	Escultura de mujer	https://ingress.com/intel?ll=39.569128,2.646655&z=17&pll=39.569128,2.646655
2				3	Plaza de la Reina	https://ingress.com/intel?ll=39.568898,2.646561&z=17&pll=39.568898,2.646561
2				4	Joan Alcover	https://ingress.com/intel?ll=39.568942,2.646774&z=17&pll=39.568942,2.646774
2				5	Bellaombra de la Plaza de la Reina	https://ingress.com/intel?ll=39.5689,2.647015&z=17&pll=39.5689,2.647015
2				6	Joan Miro Sculpture	https://ingress.com/intel?ll=39.568655,2.646821&z=17&pll=39.568655,2.646821
2				7	Placa Estancia Frederic Chopin	https://ingress.com/intel?ll=39.568734,2.646223&z=17&pll=39.568734,2.646223
						
3	Any order	MD 2018: Palma, L'hort del Rei	These gardens receive their name due to their proximity to the royal palace of l'Almudaina. Note the statue of a Balearic slinger, very famous for their skill centuries ago. Picture by J4um3.	1	Fountain Antoni Maura	https://ingress.com/intel?ll=39.568349,2.646938&z=17&pll=39.568349,2.646938
3				2	Laurel Ofrecido Memorial	https://ingress.com/intel?ll=39.568147,2.6467&z=17&pll=39.568147,2.6467
3				3	Jardins del Rei	https://ingress.com/intel?ll=39.568048,2.646429&z=17&pll=39.568048,2.646429
3				4	Jonica	https://ingress.com/intel?ll=39.567823,2.646252&z=17&pll=39.567823,2.646252
3				5	Fuente Jardines del Rey	https://ingress.com/intel?ll=39.567787,2.646533&z=17&pll=39.567787,2.646533
3				6	Es Forner	https://ingress.com/intel?ll=39.567408,2.646128&z=17&pll=39.567408,2.646128
						
4	Any order	MD 2018: Palma, Dalt Murada-Almudaina	A walk on the walls of the city, which used to be next to the sea. They are crowned by la Seu. Picture by Rafel Balaguer Prunés.	1	Almudaina	https://ingress.com/intel?ll=39.567351,2.646443&z=17&pll=39.567351,2.646443
4				2	estatua a las madres	https://ingress.com/intel?ll=39.567361,2.646898&z=17&pll=39.567361,2.646898
4				3	Parc d'Alt Murada	https://ingress.com/intel?ll=39.567237,2.647164&z=17&pll=39.567237,2.647164
4				4	Porta de la Murada	https://ingress.com/intel?ll=39.567142,2.647791&z=17&pll=39.567142,2.647791
4				5	Museo Almudaina	https://ingress.com/intel?ll=39.56745,2.647281&z=17&pll=39.56745,2.647281
4				6	La Almudaina Royal Palace	WAYPOINT!!
						
5	Any order	MD 2018: Palma, La Seu	The spectacular cathedral was built after the Christian conquest by James I the conqueror. It features one of the world's largest stained glass rose windows. Picture by Ernest Llofriu Palou.	1	Parque del Mar	https://ingress.com/intel?ll=39.567394,2.647714&z=17&pll=39.567394,2.647714
5				2	La Cathédrale de Palma	WAYPOINT
5				3	Estatua Maria Cathedral Palma	https://ingress.com/intel?ll=39.567791,2.648122&z=17&pll=39.567791,2.648122
5				4	Museu Claustro de La Seu	https://ingress.com/intel?ll=39.567824,2.648428&z=17&pll=39.567824,2.648428
5				5	Escudo de los Llofriu	https://ingress.com/intel?ll=39.567726,2.648733&z=17&pll=39.567726,2.648733
5				6	Casa de Antoni Alcover	https://ingress.com/intel?ll=39.567425,2.648867&z=17&pll=39.567425,2.648867
5				7	Museo Diocesano	https://ingress.com/intel?ll=39.566974,2.649126&z=17&pll=39.566974,2.649126
						
6	Any order	MD 2018: Palma, Banys Àrabs	The arab baths are one of the vestiges of the Muslim occupation of Mallorca from 711 to 1229.	1	Jardí del Bisbe	https://ingress.com/intel?ll=39.567604,2.649811&z=17&pll=39.567604,2.649811
6				2	Mural Cristiano Calle Puresa	https://ingress.com/intel?ll=39.567566,2.650424&z=17&pll=39.567566,2.650424
6				3	Font Antiga	https://ingress.com/intel?ll=39.567291,2.650566&z=17&pll=39.567291,2.650566
6				4	Museo de Mallorca	https://ingress.com/intel?ll=39.567079,2.650589&z=17&pll=39.567079,2.650589
6				5	Salvador Dalí	https://ingress.com/intel?ll=39.566648,2.650617&z=17&pll=39.566648,2.650617
6				6	Puerto Antiguo Santos	https://ingress.com/intel?ll=39.566457,2.65046&z=17&pll=39.566457,2.65046
6				7	Estatua Maria Santa Clara	https://ingress.com/intel?ll=39.566639,2.650877&z=17&pll=39.566639,2.650877
6				8	Los Baños Árabes	WAYPOINT
						
7	Any order	MD 2018: Palma, Estudi General	The Llullian General Studio, known as the first University of the island, is nowadays a cultural center that takes care of the legacy of philosopher and writer Ramon Llull.	1	C/ Estudi General	https://ingress.com/intel?ll=39.568394,2.649083&z=17&pll=39.568394,2.649083
7				2	Pinturas en la Pared	https://ingress.com/intel?ll=39.568145,2.649096&z=17&pll=39.568145,2.649096
7				3	En Memoria de Fray Junipero Serra	https://ingress.com/intel?ll=39.568298,2.648832&z=17&pll=39.568298,2.648832
7				4	Casa de JM Quadrado	https://ingress.com/intel?ll=39.567825,2.649893&z=17&pll=39.567825,2.649893
7				5	Placa Poetessa M.A. Salvà i Ripoll	https://ingress.com/intel?ll=39.567819,2.650439&z=17&pll=39.567819,2.650439
7				6	Sargantana	https://ingress.com/intel?ll=39.568394,2.650663&z=17&pll=39.568394,2.650663
7				7	Tributo a la Imprenta de Gabriel Guasp	https://ingress.com/intel?ll=39.568572,2.650768&z=17&pll=39.568572,2.650768
						
8	Any order	MD 2018: Palma, Santa Eulàlia	The church of Santa Eulàlia is full of legends about Ramon Llull. In times of the Spanish Inquisition, victims were executed in the square.	1	Wall Holding Angel	https://ingress.com/intel?ll=39.568788,2.650703&z=17&pll=39.568788,2.650703
8				2	Fuente Ayuntamiento de Palma	https://ingress.com/intel?ll=39.569145,2.650851&z=17&pll=39.569145,2.650851
8				3	Esculturas Aurora Meridies	https://ingress.com/intel?ll=39.569025,2.651104&z=17&pll=39.569025,2.651104
8				4	Iglesia Santa Eulalia	https://ingress.com/intel?ll=39.569245,2.651059&z=17&pll=39.569245,2.651059
8				5	Portal Santa Eulalia	https://ingress.com/intel?ll=39.569486,2.651393&z=17&pll=39.569486,2.651393
8				6	Escultura Jesucristo	https://ingress.com/intel?ll=39.569658,2.651143&z=17&pll=39.569658,2.651143
						
9	Any order	MD 2018: Palma, Cort	Cort is the city council of Palma, where we can find the famous stone bench and the clock "de'n Figuera". The next building is the Consell de Mallorca.	1	Gegants Xeremiers	https://ingress.com/intel?ll=39.569521,2.650434&z=17&pll=39.569521,2.650434
9				2	L'Ajuntament de Palma	WAYPOINT
9				3	Ajuntament de Palma	https://ingress.com/intel?ll=39.569466,2.650132&z=17&pll=39.569466,2.650132
9				4	Cala Mandia	WAYPOINT
9				5	Gárgola Ayuntamiento de Palma	https://ingress.com/intel?ll=39.569313,2.649783&z=17&pll=39.569313,2.649783
9				6	Edificio de Can Corbella	https://ingress.com/intel?ll=39.569828,2.649561&z=17&pll=39.569828,2.649561
						
10	Any order	MD 2018: Palma, Colom	Central street that connects Cort with Plaça Major, full of emblematic shops and buildings, some from the modernist period.	1	Abuela y Nieta	https://ingress.com/intel?ll=39.569931,2.65069&z=17&pll=39.569931,2.65069
10				2	Flores Blancas	https://ingress.com/intel?ll=39.570407,2.650966&z=17&pll=39.570407,2.650966
10				3	Can Forteza-Rey	https://ingress.com/intel?ll=39.570812,2.651261&z=17&pll=39.570812,2.651261
10				4	Can Forteza Rey	WAYPOINT
10				5	Antigua Casa Bet	https://ingress.com/intel?ll=39.570765,2.651614&z=17&pll=39.570765,2.651614
10				6	Urbs	https://ingress.com/intel?ll=39.571117,2.651505&z=17&pll=39.571117,2.651505
						
11	Any order	MD 2018: Palma, Plaça Major	This large square is the result of the demolition of the old building of the Inquisition. There is a plaque that indicates the birthplace of Ramon Llull. Picture by tomeucanyellasphoto.	1	Homenaje Gabriel Fuster Mayans	https://ingress.com/intel?ll=39.571159,2.65216&z=17&pll=39.571159,2.65216
11				2	Plaza Mayor	WAYPOINT
11				3	Placa Casa Ramon Llull	https://ingress.com/intel?ll=39.571639,2.651588&z=17&pll=39.571639,2.651588
11				4	Que la suerte te acompañe	https://ingress.com/intel?ll=39.571952,2.651973&z=17&pll=39.571952,2.651973
11				5	Museo Joan March	https://ingress.com/intel?ll=39.572144,2.65209&z=17&pll=39.572144,2.65209
11				6	Parroquia Sant Miquel	https://ingress.com/intel?ll=39.572871,2.652096&z=17&pll=39.572871,2.652096
						
12	Any order	MD 2018: Palma, Sant Miquel	This pedestrian street is one of the most transited in Palma. Lots of cafés and shops can be found here.	1	Claustre de Sant Antoniet	https://ingress.com/intel?ll=39.573422,2.652063&z=17&pll=39.573422,2.652063
12				2	Santo	https://ingress.com/intel?ll=39.573606,2.652195&z=17&pll=39.573606,2.652195
12				3	Convent de la Missió	https://ingress.com/intel?ll=39.573935,2.652079&z=17&pll=39.573935,2.652079
12				4	Pintura San Vicente Ferrer	https://ingress.com/intel?ll=39.574422,2.652085&z=17&pll=39.574422,2.652085
12				5	Navegante 63	https://ingress.com/intel?ll=39.574842,2.652097&z=17&pll=39.574842,2.652097
12				6	Entrada Norte Santa Catalina de Sena	https://ingress.com/intel?ll=39.575142,2.652506&z=17&pll=39.575142,2.652506
						
13	Any order	MD 2018: Palma, Santa Margalida	One of the gates of the now demolished city wall was here. A statue of King James I the Conqueror, who founded the Kingdom of Mallorca, dominates the square. Picture by Demeloyd Esmeralda Toralba.	1	Estatua del Rei Jaume	https://ingress.com/intel?ll=39.575559,2.65358&z=17&pll=39.575559,2.65358
13				2	KM, Plaza de España	https://ingress.com/intel?ll=39.57587,2.653302&z=17&pll=39.57587,2.653302
13				3	Porta de Santa Margalida	https://ingress.com/intel?ll=39.576165,2.652255&z=17&pll=39.576165,2.652255
13				4	Casa Modernista	https://ingress.com/intel?ll=39.575774,2.65232&z=17&pll=39.575774,2.65232
13				5	Centro de Historia y Cultura Militar	https://ingress.com/intel?ll=39.575628,2.652031&z=17&pll=39.575628,2.652031
13				6	Iglesia Santa Margalida	https://ingress.com/intel?ll=39.575428,2.652059&z=17&pll=39.575428,2.652059
						
